data.id,data.name,data.symbol,data.slug,data.date_added,data.cmc_rank,data.self_reported_circulating_supply,data.self_reported_market_cap,data.tvl_ratio,data.last_updated,data.quote.USD.price,data.quote.USD.volume_24h,data.quote.USD.volume_change_24h,data.quote.USD.percent_change_1h,data.quote.USD.percent_change_24h,data.quote.USD.percent_change_7d,data.quote.USD.percent_change_30d,data.quote.USD.percent_change_60d,data.quote.USD.percent_change_90d,data.quote.USD.market_cap,data.quote.USD.market_cap_dominance,data.quote.USD.fully_diluted_market_cap,data.quote.USD.tvl,data.quote.USD.last_updated
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,2019-01-30T00:00:00.000Z,20,,,,2022-12-20T00:11:00.000Z,16419.4687,79453033.41,25.4319,0.10435285,-1.73663028,-4.38098506,-1.49854969,-13.72142854,-13.19185352,3054183278,0.3854,3054183278,,2022-12-20T00:11:00.000Z
1975,Chainlink,LINK,chainlink,2017-09-20T00:00:00.000Z,21,,,,2022-12-20T00:11:00.000Z,5.787889898,212675108.9,92.3854,0.08283426,-2.91768984,-13.4922936,-6.20263036,-12.97386406,-15.90205552,2940247897,0.371,5787889898,,2022-12-20T00:11:00.000Z
11419,Toncoin,TON,toncoin,2021-08-26T13:40:22.000Z,22,3414166606,7821625273,,2022-12-20T00:11:00.000Z,2.29093251,61789284.5,40.009,-1.86310466,-14.43747938,9.41044465,31.49020085,69.45959199,63.57621315,2798147674,0.353,11454662551,,2022-12-20T00:11:00.000Z
328,Monero,XMR,monero,2014-05-21T00:00:00.000Z,23,,,,2022-12-20T00:11:00.000Z,144.2394279,50854241.61,-9.841,0.14714833,0.04164231,-4.21281976,7.38540602,2.08539152,1.39638019,2627439608,0.3314,2627439608,,2022-12-20T00:11:00.000Z
3794,Cosmos,ATOM,cosmos,2019-03-14T00:00:00.000Z,24,,,,2022-12-20T00:11:00.000Z,8.608895439,94377868.26,69.5274,-0.70059876,-2.83816206,-10.64687566,-13.6288644,-24.17417948,-38.60500028,2465331944,0.311,0,,2022-12-20T00:11:00.000Z
1321,Ethereum Classic,ETC,ethereum-classic,2016-07-24T00:00:00.000Z,25,,,,2022-12-20T00:11:00.000Z,15.16677275,116487456.2,78.4053,0.80416011,-5.01330563,-18.15426302,-22.38444502,-29.90021063,-47.90585346,2099768506,0.2649,3195639018,,2022-12-20T00:11:00.000Z
512,Stellar,XLM,stellar,2014-08-05T00:00:00.000Z,26,,,,2022-12-20T00:11:00.000Z,0.07340924483,46953872.46,83.7349,-0.04957249,-4.18937301,-12.81280078,-19.07447644,-33.22064378,-37.26186764,1913605932,0.2415,3670594878,,2022-12-20T00:11:00.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,2017-07-23T00:00:00.000Z,27,,,,2022-12-20T00:11:00.000Z,98.65563635,134792750.5,63.7516,-0.1485023,-3.35866091,-7.19806816,-6.28620361,-7.18103262,-12.56735199,1900162433,0.2397,2071768363,,2022-12-20T00:11:00.000Z
3635,Cronos,CRO,cronos,2018-12-14T00:00:00.000Z,28,,,,2022-12-20T00:11:00.000Z,0.05526161105,12061111.09,39.0168,-0.19369026,-2.79400781,-11.1746459,-21.88364019,-46.66893137,-46.97084426,1396074837,0.1761,1672382892,,2022-12-20T00:11:00.000Z
3897,OKB,OKB,okb,2019-04-30T00:00:00.000Z,29,,,,2022-12-20T00:11:00.000Z,21.28428613,17947872.99,129.34,0.05989349,-2.27068032,0.70088704,3.53462277,36.06175355,42.14309162,1277057168,0.1611,6385285839,,2022-12-20T00:11:00.000Z
3155,Quant,QNT,quant,2018-08-10T00:00:00.000Z,30,,,,2022-12-20T00:11:00.000Z,104.5461089,29136750.47,75.7385,0.84444052,-5.00630175,-13.5890735,-9.45478569,-38.73449744,3.25955202,1262157782,0.1592,1527679285,,2022-12-20T00:11:00.000Z
